Province;Crime Category;2014/2015;2015/2016;2016/2017;2017/2018;2018/2019;2019/2020;2020/2021;2021/2022;2022/2023;2023/2024
Gauteng;Murder;3671;3842;4101;4233;4495;4555;4079;5570;6411;6584
Gauteng;Sexual offences;9902;9510;9566;10116;10752;10810;9749;11178;10997;10821
Gauteng;Attempted murder;4202;4574;4872;4462;4455;4639;4312;5309;6161;6795
Gauteng;Assault with the intent to inflict grievous bodily harm;41830;42790;39684;39552;39805;38362;33605;37731;38031;39675
""
Gauteng;Common robbery;17379;18051;17367;16984;17757;18088;13436;14507;15682;15754
Gauteng;Robbery with aggravating circumstances;47362;49792;53793;51706;52040;53927;44109;49700;53633;54707
Gauteng;Contact crime (Crimes against the person);167264;172814;171466;170640;174894;177737;151911;171026;181806;186098
Gauteng;Rape;7916;7605;7700;8062;8417;8509;7525;8675;8708;8648
Gauteng;Sexual assault;1228;1214;1277;1511;1733;1775;1750;2010;1863;1698
Gauteng;Attempted sexual offences;431;353;286;314;332;249;229;255;273;321
Gauteng;Contact sexual offences;327;338;303;229;270;277;245;238;153;154
Gauteng;Carjacking;6867;7367;8610;8269;7776;9025;8458;10964;11248;11258
Gauteng;Robbery at residential premises;8174;7896;8731;8333;8644;7695;6933;7497;7728;8534
Gauteng;Robbery at non-residential premises;6329;6910;7187;6679;6662;6989;5992;6455;6312;6269
Gauteng;TRIO Crime;21370;22173;24528;23262;23082;23709;21382;24916;25288;26061
Gauteng;Robbery of cash in transit;39;32;33;80;62;61;87;72;88;61
Gauteng;Bank robbery;9;2;1;6;1;0;1;2;2;1
Gauteng;Truck hijacking;804;695;668;708;647;629;774;1043;1219;1108
Gauteng;Arson;1042;992;724;495;532;476;443;505;440;367
Gauteng;Malicious damage to property;34805;34320;33299;31961;30743;28756;24553;28894;28767;27231
Gauteng;Contact-related crime;35847;35312;34023;32456;31275;29232;24996;29399;29207;27598
Gauteng;Burglary at non-residential premises;16983;16412;17173;16220;15985;15582;14326;12559;13599;12355
Gauteng;Burglary at residential premises;66172;64968;63661;56255;53092;48980;33815;34363;35899;33793
Gauteng;Theft of motor vehicle and motorcycle;27147;26646;27674;25705;24321;23819;18219;19465;19530;19351
Gauteng;Theft out of or from motor vehicle;44809;42111;45266;41298;39171;37475;23526;23802;23931;23596
Gauteng;Stock-theft;801;818;987;998;994;988;1020;886;1112;908
Gauteng;Property-related crime;155912;150955;154761;140476;133563;126844;90906;91075;94071;90003
Gauteng;All theft not mentioned elsewhere;109422;102599;97633;90739;87065;82595;62985;68983;75296;71865
Gauteng;Commercial crime;23836;23680;24147;24912;28479;28941;28557;33783;37581;43041
Gauteng;Shoplifting;22562;22157;21194;19436;18729;18160;15347;13206;15659;17171
""
Gauteng;17 Community reported serious crime;514843;507517;503224;478659;474005;463509;374702;407472;433620;435776
Gauteng;Illegal possession of firearms and ammunition;3740;3600;4126;4505;3947;4079;3484;3610;4273;4566
Gauteng;Drug-related crime;70264;55442;62837;69285;55639;43275;28034;29578;34963;38093
Gauteng;Driving under the influence of alcohol or drugs;25794;32287;27834;33173;30203;34860;15493;18492;18676;23722
Gauteng;Sexual offences detected as a result of police action;469;470;606;651;687;876;848;928;1458;1603
Gauteng;Crime detected as a result of police action;100267;91799;95403;107614;90476;83090;47859;52608;59370;67984
Gauteng;Kidnapping;1595;1736;1860;2215;2109;2202;1805;4495;7822;8683
""
KwaZulu-Natal;Sexual offences;9079;8947;8484;8759;9308;9809;8201;9617;10106;9965
KwaZulu-Natal;Attempted murder;3918;4041;3914;4099;4203;4161;4391;5917;6307;7167
KwaZulu-Natal;Assault with the intent to inflict grievous bodily harm;29201;28665;26824;26693;26878;27418;23531;26518;26397;29300
KwaZulu-Natal;Common assault;24011;23703;22285;22842;23521;24900;21480;24843;25965;27809
KwaZulu-Natal;Common robbery;7857;7524;7305;6596;7090;7183;5459;6438;7562;7841
KwaZulu-Natal;Robbery with aggravating circumstances;20881;21061;22327;21543;22110;22824;20964;23897;26798;25275
KwaZulu-Natal;Contact crime (Crimes against the person);98757;97870;95153;94914;97505;101154;88851;103725;110082;113700
KwaZulu-Natal;Rape;7427;7307;7032;7243;7667;8017;6685;7966;8433;8152
KwaZulu-Natal;Sexual assault;1138;1157;1039;1148;1266;1367;1172;1294;1140;1303
KwaZulu-Natal;Attempted sexual offences;274;271;226;204;235;251;180;236;394;424
KwaZulu-Natal;Contact sexual offences;240;212;187;164;140;174;164;121;139;86
KwaZulu-Natal;Carjacking;2190;2493;3029;2698;2764;3041;2669;3279;3731;3336
KwaZulu-Natal;Robbery at residential premises;3958;4082;4255;4174;4182;4575;4820;5221;5991;5561
KwaZulu-Natal;Robbery at non-residential premises;2750;2825;2951;3047;3055;3072;3303;3403;3531;2785
""
KwaZulu-Natal;Robbery of cash in transit;18;21;25;30;12;16;22;41;33;43
KwaZulu-Natal;Bank robbery;0;0;1;3;0;0;0;0;0;0
KwaZulu-Natal;Truck hijacking;63;71;81;52;80;70;77;83;105;156
KwaZulu-Natal;Arson;854;825;699;679;754;762;619;1048;690;664
KwaZulu-Natal;Malicious damage to property;14605;14709;14010;12958;13704;13358;12608;15464;14083;14512
KwaZulu-Natal;Contact-related crime;15459;15534;14709;13637;14458;14120;13227;16512;14773;15176
KwaZulu-Natal;Burglary at non-residential premises;11032;11656;11253;10756;10863;10844;10566;13268;8882;8251
KwaZulu-Natal;Burglary at residential premises;43274;42429;41013;38545;38790;35290;28735;26006;26578;26606
KwaZulu-Natal;Theft of motor vehicle and motorcycle;8404;8673;8413;8240;8050;8030;6073;6151;6343;6151
KwaZulu-Natal;Theft out of or from motor vehicle;18148;17896;16854;16344;14912;14388;10621;10299;11813;11724
KwaZulu-Natal;Stock-theft;5956;5731;5959;6322;6380;6252;6059;6084;5665;5689
KwaZulu-Natal;Property-related crime;86814;86385;83492;80207;78995;74804;62054;61808;59281;58421
KwaZulu-Natal;All theft not mentioned elsewhere;47622;43573;42577;39615;40193;39647;32442;34876;37292;39618
KwaZulu-Natal;Commercial crime;11227;11395;12405;12308;14899;14343;13872;16451;18247;20591
KwaZulu-Natal;Shoplifting;14118;13648;12302;11620;10878;10138;7631;6967;8033;8576
KwaZulu-Natal;Other serious crime;72967;68616;67284;63543;65970;64128;53945;58294;63572;68785
KwaZulu-Natal;17 Community reported serious crime;273997;268405;260638;252301;256928;254206;218077;240339;247708;256082
KwaZulu-Natal;Illegal possession of firearms and ammunition;4081;3908;4000;4418;3733;3719;3174;3285;3717;3587
KwaZulu-Natal;Drug-related crime;47377;46354;50429;53987;35358;25990;19505;19965;23045;23138
""
KwaZulu-Natal;Sexual offences detected as a result of police action;2258;2561;3558;3520;3615;3474;1777;2121;2694;2368
KwaZulu-Natal;Crime detected as a result of police action;65418;64875;71390;80143;60283;54199;29371;30794;32239;37797
KwaZulu-Natal;Kidnapping;935;930;948;1097;1041;1423;1372;2520;3089;3329
Limpopo;Murder;775;895;813;910;914;882;717;1012;1013;975
Limpopo;Sexual offences;4312;4365;3823;3859;4060;3990;3720;4309;4689;4808
Limpopo;Attempted murder;791;872;827;883;834;794;741;1102;1068;1179
Limpopo;Assault with the intent to inflict grievous bodily harm;13501;14132;12934;11998;12116;11368;9976;12192;13205;13119
Limpopo;Common assault;9067;9833;8365;7512;7428;7381;7645;9534;10889;10588
Limpopo;Common robbery;3381;3544;3224;2838;2908;2899;2216;2618;3232;3169
Limpopo;Robbery with aggravating circumstances;6116;6707;6735;7039;7006;7466;6105;6923;8004;8170
Limpopo;Contact crime (Crimes against the person);37943;40348;36721;35039;35266;34780;31120;37690;42100;42008
Limpopo;Rape;3725;3728;3317;3300;3501;3436;3126;3625;4021;4085
Limpopo;Sexual assault;245;244;240;303;292;316;358;431;391;444
Limpopo;Attempted sexual offences;262;258;195;193;196;190;177;211;229;226
Limpopo;Contact sexual offences;80;135;71;63;71;48;59;42;48;53
Limpopo;Carjacking;344;447;458;582;474;458;426;537;569;578
""
Limpopo;Robbery at non-residential premises;1521;1800;1749;1820;1838;2165;1560;1821;1943;1761
""
Limpopo;Robbery of cash in transit;9;12;10;14;13;15;13;25;24;20
Limpopo;Bank robbery;1;0;0;0;0;0;0;0;0;0
Limpopo;Truck hijacking;26;15;25;32;15;25;18;31;38;39
Limpopo;Arson;584;612;484;431;390;354;260;340;344;348
Limpopo;Malicious damage to property;6944;7603;6859;6805;6771;6589;6606;7428;7808;7672
Limpopo;Contact-related crime;7528;8215;7343;7236;7161;6943;6866;7768;8152;8020
Limpopo;Burglary at non-residential premises;7042;7382;7281;6711;6315;6703;5784;5403;6007;6103
Limpopo;Burglary at residential premises;16430;16199;15956;14319;14634;14502;11577;11754;11768;11197
Limpopo;Theft of motor vehicle and motorcycle;988;1150;1014;1021;861;787;614;821;777;706
Limpopo;Theft out of or from motor vehicle;5489;5555;4983;4440;4262;4126;3048;3188;3412;3552
Limpopo;Stock-theft;1642;1729;1920;2141;2396;2331;1970;2274;2539;2550
Limpopo;Property-related crime;31591;32015;31154;28632;28468;28449;22993;23440;24503;24108
Limpopo;All theft not mentioned elsewhere;19010;19866;20717;17339;17508;15709;13024;14679;17452;18722
Limpopo;Commercial crime;3495;3731;4021;3734;4118;4275;4324;5095;5853;6919
Limpopo;Shoplifting;3909;3799;3742;3259;3455;3796;2784;2899;3350;3450
Limpopo;Other serious crime;26414;27396;28480;24332;25081;23780;20132;22673;26655;29091
Limpopo;17 Community reported serious crime;103476;107974;103698;95239;95976;93952;81111;91571;101410;103227
Limpopo;Illegal possession of firearms and ammunition;471;453;532;639;702;635;545;476;636;714
Limpopo;Drug-related crime;11702;11266;14381;19572;13533;4775;5904;5507;6833;8072
Limpopo;Driving under the influence of alcohol or drugs;3214;4141;4418;5682;6557;7916;3972;3205;1607;2951
Limpopo;Sexual offences detected as a result of police action;2917;1842;698;1346;2457;3594;3346;2563;2927;3412
Limpopo;Crime detected as a result of police action;18304;17702;20029;27239;23249;16920;13767;11751;12003;15149
Limpopo;Kidnapping;228;305;271;300;243;289;260;317;452;514
Mpumalanga;Murder;833;862;954;923;996;1046;935;1201;1344;1565
Mpumalanga;Sexual offences;3474;3335;3221;3201;3470;3513;3134;3553;3294;3283
Mpumalanga;Attempted murder;705;800;953;898;1090;1108;1016;1401;1417;1554
Mpumalanga;Assault with the intent to inflict grievous bodily harm;10788;11370;10910;10697;11407;11250;9682;10588;10766;11963
Mpumalanga;Common assault;7516;7654;7720;7648;8204;8423;7857;8481;8810;8925
Mpumalanga;Common robbery;2935;2747;2954;2542;2627;2610;1860;2011;2007;2237
Mpumalanga;Robbery with aggravating circumstances;5663;6012;6712;6766;7091;7672;7004;8864;8948;9263
Mpumalanga;Contact crime (Crimes against the person);31914;32780;33424;32675;34885;35622;31488;36099;36586;38790
Mpumalanga;Rape;3000;2847;2712;2713;2903;2971;2611;3016;2772;2758
Mpumalanga;Sexual assault;221;245;264;282;384;371;362;364;374;376
Mpumalanga;Attempted sexual offences;174;161;146;121;117;105;99;100;103;117
Mpumalanga;Contact sexual offences;79;82;99;85;66;66;62;73;45;32
Mpumalanga;Carjacking;510;632;811;898;917;999;967;1467;1271;1452
Mpumalanga;Robbery at residential premises;1114;1085;1141;1128;1069;1184;1271;1475;1582;1576
Mpumalanga;Robbery at non-residential premises;1367;1564;1765;1625;1758;1783;1662;1978;1947;1609
Mpumalanga;TRIO Crime;2991;3281;3717;3651;3744;3966;3900;4920;4800;4637
Mpumalanga;Robbery of cash in transit;14;19;22;24;16;15;17;21;21;15
""
